Prompt,Category
"Provide the latest power_consumption, torque and tool_wear.","multi_parameter_query: power_consumption, torque, tool_wear"
"What is the trend power_consumption, torque and tool_wear?","multi_parameter_query: power_consumption, torque, tool_wear"
"Calculate the trend power_consumption, torque and tool_wear.","multi_parameter_query: power_consumption, torque, tool_wear"
"Find the trend power_consumption, torque and tool_wear.","multi_parameter_query: power_consumption, torque, tool_wear"
"Determine the trend power_consumption, torque and tool_wear.","multi_parameter_query: power_consumption, torque, tool_wear"
"Show me the trend power_consumption, torque and tool_wear.","multi_parameter_query: power_consumption, torque, tool_wear"
"Give me the trend power_consumption, torque and tool_wear.","multi_parameter_query: power_consumption, torque, tool_wear"
"Provide the trend power_consumption, torque and tool_wear.","multi_parameter_query: power_consumption, torque, tool_wear"
"What is the average process_temperature, rotational_speed and system_load?","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Calculate the average process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Find the average process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Determine the average process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Show me the average process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Give me the average process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Provide the average process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"What is the maximum process_temperature, rotational_speed and system_load?","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Calculate the maximum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Find the maximum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Determine the maximum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Show me the maximum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Give me the maximum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Provide the maximum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"What is the minimum process_temperature, rotational_speed and system_load?","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Calculate the minimum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Find the minimum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Determine the minimum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Show me the minimum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Give me the minimum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Provide the minimum process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"What is the latest process_temperature, rotational_speed and system_load?","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Calculate the latest process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Find the latest process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Determine the latest process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Show me the latest process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Give me the latest process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Provide the latest process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"What is the trend process_temperature, rotational_speed and system_load?","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Calculate the trend process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Find the trend process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Determine the trend process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Show me the trend process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Give me the trend process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"Provide the trend process_temperature, rotational_speed and system_load.","multi_parameter_query: process_temperature, rotational_speed, system_load"
"What is the average process_temperature, rotational_speed and torque?","multi_parameter_query: process_temperature, rotational_speed, torque"
"Calculate the average process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Find the average process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Determine the average process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Show me the average process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Give me the average process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Provide the average process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"What is the maximum process_temperature, rotational_speed and torque?","multi_parameter_query: process_temperature, rotational_speed, torque"
"Calculate the maximum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Find the maximum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Determine the maximum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Show me the maximum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Give me the maximum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Provide the maximum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"What is the minimum process_temperature, rotational_speed and torque?","multi_parameter_query: process_temperature, rotational_speed, torque"
"Calculate the minimum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Find the minimum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Determine the minimum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Show me the minimum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Give me the minimum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Provide the minimum process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"What is the latest process_temperature, rotational_speed and torque?","multi_parameter_query: process_temperature, rotational_speed, torque"
"Calculate the latest process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Find the latest process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Determine the latest process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Show me the latest process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Give me the latest process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Provide the latest process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"What is the trend process_temperature, rotational_speed and torque?","multi_parameter_query: process_temperature, rotational_speed, torque"
"Calculate the trend process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Find the trend process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Determine the trend process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Show me the trend process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Give me the trend process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"Provide the trend process_temperature, rotational_speed and torque.","multi_parameter_query: process_temperature, rotational_speed, torque"
"What is the average process_temperature, rotational_speed and tool_wear?","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Calculate the average process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Find the average process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Determine the average process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Show me the average process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Give me the average process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Provide the average process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"What is the maximum process_temperature, rotational_speed and tool_wear?","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Calculate the maximum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Find the maximum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Determine the maximum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Show me the maximum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Give me the maximum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Provide the maximum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"What is the minimum process_temperature, rotational_speed and tool_wear?","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Calculate the minimum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Find the minimum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Determine the minimum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Show me the minimum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Give me the minimum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Provide the minimum process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"What is the latest process_temperature, rotational_speed and tool_wear?","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Calculate the latest process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Find the latest process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Determine the latest process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Show me the latest process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Give me the latest process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Provide the latest process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"What is the trend process_temperature, rotational_speed and tool_wear?","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Calculate the trend process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Find the trend process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Determine the trend process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Show me the trend process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Give me the trend process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"Provide the trend process_temperature, rotational_speed and tool_wear.","multi_parameter_query: process_temperature, rotational_speed, tool_wear"
"What is the average process_temperature, system_load and torque?","multi_parameter_query: process_temperature, system_load, torque"
"Calculate the average process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Find the average process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Determine the average process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Show me the average process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Give me the average process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Provide the average process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"What is the maximum process_temperature, system_load and torque?","multi_parameter_query: process_temperature, system_load, torque"
"Calculate the maximum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Find the maximum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Determine the maximum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Show me the maximum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Give me the maximum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Provide the maximum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"What is the minimum process_temperature, system_load and torque?","multi_parameter_query: process_temperature, system_load, torque"
"Calculate the minimum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Find the minimum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Determine the minimum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Show me the minimum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Give me the minimum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Provide the minimum process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"What is the latest process_temperature, system_load and torque?","multi_parameter_query: process_temperature, system_load, torque"
"Calculate the latest process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Find the latest process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Determine the latest process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Show me the latest process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Give me the latest process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Provide the latest process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"What is the trend process_temperature, system_load and torque?","multi_parameter_query: process_temperature, system_load, torque"
"Calculate the trend process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Find the trend process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Determine the trend process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Show me the trend process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Give me the trend process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"Provide the trend process_temperature, system_load and torque.","multi_parameter_query: process_temperature, system_load, torque"
"What is the average process_temperature, system_load and tool_wear?","multi_parameter_query: process_temperature, system_load, tool_wear"
"Calculate the average process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Find the average process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Determine the average process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Show me the average process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Give me the average process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Provide the average process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"What is the maximum process_temperature, system_load and tool_wear?","multi_parameter_query: process_temperature, system_load, tool_wear"
"Calculate the maximum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Find the maximum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Determine the maximum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Show me the maximum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Give me the maximum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Provide the maximum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"What is the minimum process_temperature, system_load and tool_wear?","multi_parameter_query: process_temperature, system_load, tool_wear"
"Calculate the minimum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Find the minimum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Determine the minimum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Show me the minimum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Give me the minimum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Provide the minimum process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"What is the latest process_temperature, system_load and tool_wear?","multi_parameter_query: process_temperature, system_load, tool_wear"
"Calculate the latest process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Find the latest process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Determine the latest process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Show me the latest process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Give me the latest process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Provide the latest process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"What is the trend process_temperature, system_load and tool_wear?","multi_parameter_query: process_temperature, system_load, tool_wear"
"Calculate the trend process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Find the trend process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Determine the trend process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Show me the trend process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Give me the trend process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"Provide the trend process_temperature, system_load and tool_wear.","multi_parameter_query: process_temperature, system_load, tool_wear"
"What is the average process_temperature, torque and tool_wear?","multi_parameter_query: process_temperature, torque, tool_wear"
"Calculate the average process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Find the average process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Determine the average process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Show me the average process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Give me the average process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Provide the average process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"What is the maximum process_temperature, torque and tool_wear?","multi_parameter_query: process_temperature, torque, tool_wear"
"Calculate the maximum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Find the maximum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Determine the maximum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Show me the maximum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Give me the maximum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Provide the maximum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"What is the minimum process_temperature, torque and tool_wear?","multi_parameter_query: process_temperature, torque, tool_wear"
"Calculate the minimum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Find the minimum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Determine the minimum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Show me the minimum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Give me the minimum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Provide the minimum process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"What is the latest process_temperature, torque and tool_wear?","multi_parameter_query: process_temperature, torque, tool_wear"
"Calculate the latest process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Find the latest process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Determine the latest process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Show me the latest process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Give me the latest process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Provide the latest process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"What is the trend process_temperature, torque and tool_wear?","multi_parameter_query: process_temperature, torque, tool_wear"
"Calculate the trend process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Find the trend process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Determine the trend process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Show me the trend process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Give me the trend process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"Provide the trend process_temperature, torque and tool_wear.","multi_parameter_query: process_temperature, torque, tool_wear"
"What is the average rotational_speed, system_load and torque?","multi_parameter_query: rotational_speed, system_load, torque"
"Calculate the average rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Find the average rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Determine the average rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Show me the average rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Give me the average rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Provide the average rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"What is the maximum rotational_speed, system_load and torque?","multi_parameter_query: rotational_speed, system_load, torque"
"Calculate the maximum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Find the maximum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Determine the maximum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Show me the maximum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Give me the maximum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Provide the maximum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"What is the minimum rotational_speed, system_load and torque?","multi_parameter_query: rotational_speed, system_load, torque"
"Calculate the minimum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Find the minimum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Determine the minimum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Show me the minimum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Give me the minimum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Provide the minimum rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"What is the latest rotational_speed, system_load and torque?","multi_parameter_query: rotational_speed, system_load, torque"
"Calculate the latest rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Find the latest rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Determine the latest rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Show me the latest rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Give me the latest rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Provide the latest rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"What is the trend rotational_speed, system_load and torque?","multi_parameter_query: rotational_speed, system_load, torque"
"Calculate the trend rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Find the trend rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Determine the trend rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Show me the trend rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Give me the trend rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"Provide the trend rotational_speed, system_load and torque.","multi_parameter_query: rotational_speed, system_load, torque"
"What is the average rotational_speed, system_load and tool_wear?","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Calculate the average rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Find the average rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Determine the average rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Show me the average rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Give me the average rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Provide the average rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"What is the maximum rotational_speed, system_load and tool_wear?","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Calculate the maximum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Find the maximum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Determine the maximum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Show me the maximum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Give me the maximum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Provide the maximum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"What is the minimum rotational_speed, system_load and tool_wear?","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Calculate the minimum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Find the minimum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Determine the minimum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Show me the minimum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Give me the minimum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Provide the minimum rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"What is the latest rotational_speed, system_load and tool_wear?","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Calculate the latest rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Find the latest rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Determine the latest rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Show me the latest rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Give me the latest rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
"Provide the latest rotational_speed, system_load and tool_wear.","multi_parameter_query: rotational_speed, system_load, tool_wear"
